name,rating,jersey,team,position,birthday,height,weight,salary,country
De'Aaron Fox,86,5,Kings,Guard,12/20/97,03-Jun,171,6392760,United States
Jrue Holiday,86,11,Pelicans,Guard,6/12/90,03-Jun,180,26131111,United States
John Wall,86,2,Wizards,Guard,9/06/90,04-Jun,195,38199000,United States
Devin Booker,86,1,Suns,Guard,10/30/96,05-Jun,206,27285000,United States
Draymond Green,86,23,Warriors,Forward,3/04/90,06-Jun,230,18539130,United States
Al Horford,85,42,76ers,"Center,Forward",6/03/86,09-Jun,246,28000000,Dominican Republic
Clint Capela,85,15,Hawks,Center,5/18/94,10-Jun,211,16896552,Switzerland
Kyle Lowry,85,7,Raptors,Guard,3/25/86,01-Jun,205,33296296,United States
Trae Young,85,11,Hawks,Guard,9/19/98,01-Jun,180,6273000,United States
Eric Bledsoe,85,6,Bucks,Guard,12/09/89,01-Jun,195,15625000,United States
Chris Paul,85,3,Thunder,Guard,5/06/85,01-Jun,175,38506482,United States
Zach LaVine,85,8,Bulls,Guard,3/10/95,06-Jun,181,19500000,United States
Khris Middleton,85,22,Bucks,Forward,8/12/91,07-Jun,217,30603448,United States
Jayson Tatum,85,0,Celtics,Forward,3/03/98,08-Jun,204,7830000,United States
Tobias Harris,85,12,76ers,Forward,7/15/92,08-Jun,226,32742000,United States
Jamal Murray,84,27,Nuggets,Guard,2/23/97,04-Jun,201,4444746,Canada
Buddy Hield,84,24,Kings,Guard,12/17/93,04-Jun,212,4861207,The Bahamas
Louis Williams,84,23,Clippers,Guard,10/27/86,01-Jun,175,8000000,United States
Kyle Kuzma,84,0,Lakers,Forward,7/24/95,08-Jun,221,1974600,United States
John Collins,84,20,Hawks,Forward,9/23/97,09-Jun,225,2686560,United States
Jusuf Nurkic,83,27,Trail Blazers,Center,8/23/94,01-Jul,290,12000000,Bosnia and Herzegovina
Bojan Bogdanovic,83,44,Jazz,"Guard,Forward",4/18/89,08-Jun,216,17000000,Croatia
Lauri Markkanen,83,24,Bulls,"Forward,Center",5/22/97,01-Jul,240,5300400,Finland
Danilo Gallinari,83,8,Thunder,Forward,8/08/88,10-Jun,225,22615559,Italy
Marvin Bagley,83,35,Kings,Forward,3/14/99,11-Jun,235,8556120,United States
Malcolm Brogdon,83,7,Pacers,Guard,12/11/92,05-Jun,223,20000000,United States
Montrezl Harrell,83,5,Clippers,Forward,1/26/94,07-Jun,253,6000000,United States
Kevin Love,83,0,Cavaliers,Forward,9/07/88,08-Jun,260,28942830,United States
Julius Randle,83,30,Knicks,Forward,11/29/94,08-Jun,250,18000000,United States
Steven Adams,82,12,Thunder,Center,7/20/93,11-Jun,255,25842697,New Zealand
Marc Gasol,82,33,Raptors,Center,1/29/85,11-Jun,265,25595700,Spain
Deandre Ayton,82,22,Suns,Center,7/23/98,11-Jun,250,9562920,The Bahamas
Jaren Jackson,82,13,Grizzlies,"Forward,Center",9/15/99,11-Jun,242,6699960,United States
Myles Turner,82,33,Pacers,"Forward,Center",3/24/96,11-Jun,239,18000000,United States
Marcus Smart,82,36,Celtics,Guard,3/06/94,03-Jun,227,12553571,United States
Spencer Dinwiddie,82,8,Nets,Guard,4/06/93,05-Jun,205,10605600,United States
Paul Millsap,82,4,Nuggets,"Forward,Center",2/10/85,07-Jun,250,30350000,United States
Domantas Sabonis,81,11,Pacers,"Forward,Center",5/03/96,11-Jun,231,3529554,Lithuania
Jonas Valanciunas,81,17,Grizzlies,Center,5/06/92,11-Jun,231,16000000,Lithuania
Serge Ibaka,81,9,Raptors,Forward,9/18/89,01-Jul,240,23271604,Spain
DeAndre Jordan,81,6,Nets,Center,7/21/88,11-Jun,265,9881598,United States
Zion Williamson,81,1,Pelicans,Forward,7/06/00,06-Jun,284,9757440,United States
Brandon Ingram,81,14,Pelicans,Forward,9/02/97,07-Jun,196,7265485,United States
Rudy Gay,81,22,Spurs,Forward,8/17/86,08-Jun,230,14500000,United States
Aaron Gordon,81,0,Magic,Forward,9/16/95,08-Jun,220,19863636,United States
Hassan Whiteside,81,21,Trail Blazers,Center,6/13/89,01-Jul,235,27093018,United States
Enes Kanter,80,11,Celtics,Center,5/20/92,10-Jun,262,4767000,Turkey
Derrick Rose,80,25,Pistons,Guard,10/04/88,02-Jun,190,7317074,United States
Reggie Jackson,80,0,Clippers,Guard,4/16/90,03-Jun,208,17799677,United States
JJ Redick,80,4,Pelicans,Guard,6/24/84,03-Jun,190,13486300,United States
Josh Richardson,80,0,76ers,Guard,9/15/93,05-Jun,200,10116576,United States
Robert Covington,80,33,Rockets,Forward,12/14/90,07-Jun,209,11301219,United States
Gordon Hayward,80,20,Celtics,Forward,3/23/90,07-Jun,207,32700690,United States
Otto Porter,80,22,Bulls,Forward,6/03/93,08-Jun,198,27250576,United States
TJ Warren,80,1,Pacers,Forward,9/05/93,08-Jun,220,11060000,United States
Derrick Favors,80,22,Pelicans,Forward,7/15/91,09-Jun,246,17650000,United States
Joe Ingles,79,2,Jazz,Forward,10/02/87,07-Jun,209,11454546,Australia
Shai Gilgeous-Alexander,79,2,Thunder,Guard,7/12/98,05-Jun,180,3952920,Canada
Andrew Wiggins,79,22,Warriors,Forward,2/23/95,07-Jun,197,27504630,Canada
Tristan Thompson,79,13,Cavaliers,Forward,3/13/91,09-Jun,225,18539130,Canada
Goran Dragic,79,7,Heat,Guard,5/06/86,03-Jun,190,19217900,Slovenia
Patrick Beverley,79,21,Clippers,Guard,7/12/88,01-Jun,180,12345680,United States
Fred VanVleet,79,23,Raptors,Guard,2/25/94,01-Jun,197,9346153,United States
Jarrett Allen,79,31,Nets,Center,4/20/98,11-Jun,234,2376840,United States
Ja Morant,79,12,Grizzlies,Guard,8/10/99,03-Jun,174,8730240,United States
Gary Harris,79,14,Nuggets,Guard,9/14/94,04-Jun,205,17839286,United States
Jeremy Lamb,79,26,Pacers,Guard,5/30/92,05-Jun,180,10500000,United States
PJ Tucker,79,17,Rockets,Forward,5/05/85,05-Jun,225,8349039,United States
Lonzo Ball,79,2,Pelicans,Guard,10/27/97,06-Jun,190,8719320,United States
Jaylen Brown,79,7,Celtics,Forward,10/24/96,06-Jun,223,6534829,United States
Terrence Ross,79,8,Magic,Guard,2/05/91,06-Jun,206,12500000,United States
Harrison Barnes,79,40,Kings,Forward,5/30/92,08-Jun,210,24147727,United States
Thaddeus Young,79,21,Bulls,Forward,6/21/88,08-Jun,220,12900000,United States
Bam Adebayo,79,13,Heat,"Forward,Center",7/18/97,09-Jun,243,3454080,United States
Willie Cauley-Stein,79,0,Mavericks,Center,8/18/93,01-Jul,242,2177483,United States
Brook Lopez,79,11,Bucks,Center,4/01/88,01-Jul,265,12093024,United States
JaVale McGee,79,7,Lakers,Center,1/19/88,01-Jul,270,4000000,United States
Mitchell Robinson,79,23,Knicks,Center,4/01/98,01-Jul,223,1559712,United States
Kelly Olynyk,78,9,Heat,Center,4/19/91,11-Jun,234,12667885,Canada
RJ Barrett,78,9,Knicks,Guard,6/14/00,06-Jun,202,7839960,Canada
Evan Fournier,78,10,Magic,Guard,10/29/92,07-Jun,190,17150000,France
Dennis Schroeder,78,17,Thunder,Guard,9/15/93,01-Jun,172,15500000,Germany
Jordan Clarkson,78,8,Jazz,Guard,6/07/92,04-Jun,186,13437500,Philippines
Bogdan Bogdanovic,78,8,Kings,Guard,8/18/92,06-Jun,205,8529386,Serbia
Ricky Rubio,78,11,Suns,Guard,10/21/90,03-Jun,180,16200000,Spain
Terry Rozier,78,3,Hornets,Guard,3/17/94,01-Jun,190,19894737,United States
Thomas Bryant,78,13,Wizards,"Forward,Center",7/31/97,10-Jun,241,8000000,United States
Bobby Portis,78,1,Knicks,"Forward,Center",2/10/95,10-Jun,246,15000000,United States
Eric Gordon,78,10,Rockets,Guard,12/25/88,03-Jun,215,14057730,United States
Jeff Teague,78,0,Hawks,Guard,6/10/88,03-Jun,181,19000000,United States
Dejounte Murray,78,5,Spurs,Guard,9/19/96,04-Jun,170,2321735,United States
Derrick White,78,4,Spurs,Guard,7/02/94,04-Jun,200,1948080,United States
Will Barton,78,5,Nuggets,Guard,1/06/91,05-Jun,175,12776786,United States
Joe Harris,78,12,Nets,Guard,9/06/91,06-Jun,215,7666667,United States
Andre Iguodala,78,9,Heat,"Guard,Forward",1/28/84,06-Jun,207,17185185,United States
Caris LeVert,78,22,Nets,Guard,8/25/94,06-Jun,191,2625717,United States
Justise Winslow,78,0,Grizzlies,Forward,3/26/96,06-Jun,222,13000000,United States
Larry Nance Jr,78,22,Cavaliers,Forward,1/01/93,07-Jun,227,12727273,United States
Kelly Oubre,78,3,Suns,"Forward,Guard",12/09/95,07-Jun,203,15625000,United States
JaMychal Green,78,4,Clippers,Forward,6/21/90,08-Jun,220,4767000,United States
Marcus Morris,78,0,Clippers,Forward,9/02/89,08-Jun,235,15000000,United States
Jabari Parker,78,0,Kings,Forward,3/15/95,08-Jun,235,6500000,United States
Wendell Carter,78,34,Bulls,Center,4/16/99,09-Jun,259,5201400,United States
Jakob Poeltl,77,25,Spurs,"Center,Forward",10/15/95,01-Jul,239,3754885,Austria
Dwight Powell,77,7,Mavericks,"Forward,Center",7/20/91,10-Jun,234,10259375,Canada
Dario Saric,77,20,Suns,Forward,4/08/94,10-Jun,216,3481985,Croatia
Ivica Zubac,77,40,Clippers,Center,3/18/97,01-Jul,265,6481482,Croatia
Nicolas Batum,77,5,Hornets,"Forward,Guard",12/14/88,09-Jun,210,25565217,France
Al-Farouq Aminu,77,2,Magic,Forward,9/21/90,08-Jun,215,9258000,Nigeria
Nemanja Bjelica,77,88,Kings,"Forward,Guard",5/09/88,10-Jun,224,6825000,Serbia
Alex Len,77,0,Kings,Center,6/16/93,01-Jul,225,4160000,Ukraine
Darius Garland,77,10,Cavaliers,Guard,6/26/00,01-Jun,175,6400920,United States
Collin Sexton,77,2,Cavaliers,Guard,1/04/99,01-Jun,190,4764960,United States
Nerlens Noel,77,9,Thunder,"Forward,Center",4/10/94,10-Jun,206,1882867,United States
Mason Plumlee,77,24,Nuggets,"Center,Forward",3/05/90,11-Jun,238,14041096,United States
Monte Morris,77,11,Nuggets,Guard,6/27/95,02-Jun,175,1588231,United States
Dennis Smith,77,5,Knicks,Guard,11/25/97,02-Jun,195,4463640,United States
Malik Beasley,77,0,Timberwolves,Guard,11/26/96,04-Jun,198,2731713,United States
Tim Hardaway Jr,77,11,Mavericks,Guard,3/16/92,05-Jun,199,20025127,United States
DeMarre Carroll,77,0,Rockets,Forward,7/27/86,06-Jun,212,7339258,United States
Danny Green,77,14,Lakers,Guard,6/22/87,06-Jun,209,14634147,United States
Jarrett Culver,77,23,Timberwolves,Guard,2/20/99,06-Jun,195,5813640,United States
De'Andre Hunter,77,12,Hawks,Forward,12/01/97,07-Jun,225,7068360,United States
Taurean Prince,77,2,Nets,Forward,3/22/94,07-Jun,220,3481985,United States
Jerami Grant,77,9,Nuggets,Forward,3/12/94,08-Jun,214,9346153,United States
Ed Davis,77,17,Jazz,Forward,6/05/89,09-Jun,215,4767000,United States
Taj Gibson,77,67,Knicks,Forward,6/24/85,09-Jun,225,9000000,United States
Kevon Looney,77,5,Warriors,Forward,2/06/96,09-Jun,222,4464286,United States
Mo Bamba,77,5,Magic,Center,5/12/98,01-Jul,225,5697600,United States
Cody Zeller,77,40,Hornets,"Center,Forward",10/05/92,01-Jul,230,14471910,United States
Emmanuel Mudiay,76,8,Jazz,Guard,3/05/96,03-Jun,190,1737145,Democratic Republic of the Congo
Daniel Theis,76,27,Celtics,Center,4/04/92,08-Jun,215,5000000,Germany
Davis Bertans,76,42,Wizards,Forward,11/12/92,10-Jun,211,7000000,Latvia
Jose Juan Barea,76,5,Mavericks,Guard,6/26/84,10-May,175,2564753,Puerto Rico
Gorgui Dieng,76,0,Grizzlies,Center,1/18/90,10-Jun,230,16229213,Senegal
Willy Hernangomez,76,9,Hornets,"Center,Forward",5/27/94,11-Jun,255,1676735,Spain
Ersan Ilyasova,76,7,Bucks,Forward,5/15/87,09-Jun,235,7000000,Turkey
DJ Augustin,76,14,Magic,Guard,11/10/87,11-May,180,7250000,United States
Isaiah Thomas,76,0,,Guard,2/07/89,09-May,185,2320044,United States
Jalen Brunson,76,13,Mavericks,Guard,8/31/96,01-Jun,190,1416852,United States
Rajon Rondo,76,9,Lakers,Guard,2/22/86,01-Jun,186,2564753,United States
Michael Beasley,76,0,,Forward,1/09/89,10-Jun,235,3500000,United States
Jahlil Okafor,76,8,Pelicans,Center,12/15/95,10-Jun,270,1702486,United States
Michael Porter,76,1,Nuggets,Forward,6/29/98,10-Jun,215,3389400,United States
Jonathan Isaac,76,1,Magic,Forward,10/03/97,11-Jun,205,5806440,United States
Avery Bradley,76,11,Lakers,Guard,11/26/90,03-Jun,195,6767000,United States
Elfrid Payton,76,6,Knicks,Guard,2/22/94,03-Jun,185,8000000,United States
Austin Rivers,76,25,Rockets,Guard,8/01/92,03-Jun,200,2174310,United States
Dion Waiters,76,11,Lakers,Guard,12/10/91,03-Jun,210,12475385,United States
Wesley Matthews,76,9,Bucks,Guard,10/14/86,04-Jun,220,2564753,United States
Landry Shamet,76,20,Clippers,Guard,3/13/97,04-Jun,180,1995120,United States
Coby White,76,0,Bulls,Guard,2/16/00,04-Jun,185,5307120,United States
Kentavious Caldwell-Pope,76,1,Lakers,Guard,2/18/93,05-Jun,204,8089282,United States
Delon Wright,76,55,Mavericks,Guard,4/26/92,05-Jun,181,9473684,United States
Miles Bridges,76,0,Hornets,Forward,3/21/98,06-Jun,225,3755400,United States
Jae Crowder,76,99,Heat,Forward,7/06/90,06-Jun,235,7815533,United States
Gerald Green,76,0,,"Forward,Guard",1/26/86,06-Jun,192,2564753,United States
Michael Kidd-Gilchrist,76,0,Mavericks,Forward,9/26/93,06-Jun,232,12784359,United States
Kevin Huerter,76,3,Hawks,Guard,8/27/98,07-Jun,190,2636280,United States
Kevin Knox,76,20,Knicks,Forward,8/11/99,07-Jun,215,4380120,United States
Andre Roberson,76,21,Thunder,"Guard,Forward",12/04/91,07-Jun,206,10740740,United States
Trevor Ariza,76,0,Trail Blazers,"Forward,Guard",6/30/85,08-Jun,210,12200000,United States
Jeff Green,76,34,Rockets,Forward,8/28/86,08-Jun,235,3405180,United States
Rodney Hood,76,5,Trail Blazers,Forward,10/20/92,08-Jun,208,5718000,United States
Josh Jackson,76,20,Grizzlies,Forward,2/10/97,08-Jun,203,7059480,United States
Marvin Williams,76,2,Bucks,Forward,6/19/86,08-Jun,240,14654179,United States
Dewayne Dedmon,76,0,Hawks,Center,8/12/89,01-Jul,239,13333334,United States
Frank Kaminsky,76,8,Suns,"Forward,Center",4/04/93,01-Jul,231,4767000,United States
Meyers Leonard,76,0,Heat,Center,2/27/92,01-Jul,245,11286515,United States
Patrick Mills,75,8,Spurs,Guard,8/11/88,01-Jun,185,12678571,Australia
Aron Baynes,75,46,Suns,Center,12/09/86,10-Jun,260,5453280,Australia
Trey Lyles,75,41,Spurs,Forward,11/05/95,09-Jun,241,5500000,Canada
Mario Hezonja,75,44,Trail Blazers,"Forward,Guard",2/25/95,08-Jun,201,1737145,Croatia
Tomas Satoransky,75,31,Bulls,Guard,10/30/91,07-Jun,198,10000000,Czech Republic
Bismack Biyombo,75,8,Hornets,Center,8/28/92,08-Jun,229,17000000,Democratic Republic of the Congo
Marco Belinelli,75,18,Spurs,Guard,3/25/86,05-Jun,200,5846154,Italy
Rodions Kurucs,75,0,Nets,Forward,2/05/98,09-Jun,215,1699236,Latvia
Boban Marjanovic,75,51,Mavericks,Center,8/15/88,04-Jul,290,3500000,Serbia
Pau Gasol,75,0,,Center,7/06/80,01-Jul,250,5538540,Spain
Cedi Osman,75,16,Cavaliers,"Forward,Guard",4/08/95,07-Jun,215,2907143,Turkey
Shabazz Napier,75,0,Wizards,Guard,7/14/91,01-Jun,175,1845301,United States
TJ McConnell,75,9,Pacers,Guard,3/25/92,01-Jun,200,3500000,United States
Richaun Holmes,75,22,Kings,Forward,10/15/93,10-Jun,211,4767000,United States
Noah Vonleh,75,0,Nuggets,Forward,8/24/95,10-Jun,247,2000000,United States
Bryn Forbes,75,11,Spurs,Guard,7/23/93,02-Jun,187,2875000,United States
Kris Dunn,75,32,Bulls,Guard,3/18/94,03-Jun,206,5348007,United States
George Hill,75,3,Bucks,Guard,5/04/86,03-Jun,180,10133907,United States
Malik Monk,75,1,Hornets,Guard,2/04/98,03-Jun,197,4028400,United States
Kent Bazemore,75,26,Kings,Guard,7/01/89,04-Jun,195,19269663,United States
Wayne Ellington,75,2,Knicks,Guard,11/29/87,04-Jun,200,8000000,United States
Allonzo Trier,75,0,,"Guard,Forward",1/17/96,04-Jun,200,3551100,United States
Damyean Dotson,75,21,Knicks,Guard,5/06/94,05-Jun,202,1618520,United States
Josh Hart,75,3,Pelicans,Guard,3/06/95,05-Jun,204,1934160,United States
Luke Kennard,75,5,Pistons,Guard,6/24/96,05-Jun,196,3827160,United States
Mikal Bridges,75,25,Suns,"Forward,Guard",8/30/96,06-Jun,209,4161000,United States
Rondae Hollis-Jefferson,75,4,Raptors,Forward,1/03/95,06-Jun,221,2500000,United States
James Johnson,75,0,Timberwolves,Forward,2/20/87,07-Jun,245,15349400,United States
Kyle Korver,75,26,Bucks,Forward,3/17/81,07-Jun,212,6004753,United States
Mike Scott,75,1,76ers,Forward,7/16/88,07-Jun,237,4767000,United States
Wilson Chandler,75,21,Nets,"Forward,Guard",5/10/87,08-Jun,225,2564753,United States
Jake Layman,75,10,Timberwolves,Forward,3/07/94,08-Jun,209,3581986,United States
Markieff Morris,75,88,Lakers,Forward,9/02/89,08-Jun,245,3709887,United States
John Henson,75,31,Pistons,Forward,12/28/90,09-Jun,220,9732396,United States
Robin Lopez,75,42,Bucks,Center,4/01/88,01-Jul,255,4767000,United States
Cory Joseph,74,9,Kings,Guard,8/20/91,03-Jun,185,12000000,Canada
Dillon Brooks,74,24,Grizzlies,"Guard,Forward",1/22/96,07-Jun,225,1618520,Canada
Khem Birch,74,24,Magic,Center,9/28/92,09-Jun,209,3000000,Canada
Maxi Kleber,74,42,Mavericks,"Forward,Center",1/29/92,10-Jun,211,8000000,Germany
TJ Leaf,74,22,Pacers,"Forward,Center",4/30/97,10-Jun,222,2813280,Israel
Rui Hachimura,74,8,Wizards,Forward,2/08/98,08-Jun,225,4469160,Japan
Cheick Diallo,74,14,Suns,"Forward,Center",9/13/96,08-Jun,219,1678854,Mali
Juan Hernangomez,74,41,Timberwolves,Forward,9/28/95,09-Jun,220,3321029,Spain
Yogi Ferrell,74,3,Kings,Guard,5/09/93,01-Jun,178,3150000,United States
Quinn Cook,74,2,Lakers,Guard,3/23/93,01-Jun,180,3000000,United States
Ivan Rabb,74,0,,"Forward,Center",2/04/97,10-Jun,220,451326,United States
Christian Wood,74,35,Pistons,Forward,9/27/95,10-Jun,216,1645357,United States
Zach Collins,74,33,Trail Blazers,Center,11/17/97,11-Jun,232,4240200,United States
Harry Giles,74,20,Kings,"Forward,Center",4/22/98,11-Jun,232,2578800,United States
Joakim Noah,74,0,Clippers,Center,2/25/85,11-Jun,227,6813026,United States
Jaxson Hayes,74,10,Pelicans,"Forward,Center",5/23/00,11-Jun,220,4862040,United States
Seth Curry,74,30,Mavericks,Guard,8/23/90,02-Jun,180,7461380,United States
Markelle Fultz,74,20,Magic,Guard,5/29/98,03-Jun,195,9745200,United States
Tyler Johnson,74,0,Nets,Guard,5/07/92,03-Jun,186,19428485,United States
E'Twaun Moore,74,55,Pelicans,Guard,2/25/89,03-Jun,191,8664928,United States
Norman Powell,74,24,Raptors,Guard,5/25/93,03-Jun,215,10116576,United States
Denzel Valentine,74,45,Bulls,Guard,11/16/93,04-Jun,210,3377568,United States
Pat Connaughton,74,24,Bucks,Guard,1/06/93,05-Jun,215,1723050,United States
Reggie Bullock,74,25,Knicks,Guard,3/16/91,06-Jun,200,4000000,United States
Derrick Jones,74,5,Heat,Forward,2/15/97,06-Jun,195,1645357,United States
Glenn Robinson III,74,22,Warriors,Forward,1/08/94,06-Jun,211,1882867,United States
Torrey Craig,74,3,Nuggets,Guard,12/19/90,07-Jun,215,2000000,United States
Moe Harkless,74,0,Knicks,Forward,5/11/93,07-Jun,208,11011234,United States
Justin Jackson,74,44,Mavericks,"Forward,Guard",3/28/95,07-Jun,201,3280920,United States
Doug McDermott,74,20,Pacers,Forward,1/03/92,07-Jun,218,7333333,United States
Jordan Bell,74,0,Cavaliers,"Forward,Center",1/07/95,08-Jun,224,1870564,United States
Robert Williams,74,44,Celtics,"Forward,Center",10/17/97,08-Jun,237,1937520,United States
Kyle Anderson,74,1,Grizzlies,Forward,9/20/93,09-Jun,230,9073050,United States
Kyle O'Quinn,74,9,76ers,"Forward,Center",3/26/90,09-Jun,240,2174318,United States
Chandler Parsons,74,0,,Forward,10/25/88,09-Jun,200,25102512,United States
Matthew Dellavedova,73,18,Cavaliers,Guard,9/08/90,03-Jun,190,9607500,Australia
Jonah Bolden,73,0,Suns,Forward,1/02/96,08-Jun,215,1788296,Australia
Brandon Clarke,73,15,Grizzlies,Forward,9/19/96,08-Jun,215,2478840,Canada
Ante Zizic,73,41,Cavaliers,Center,1/04/97,10-Jun,250,2281800,Croatia
Ian Mahinmi,73,28,Wizards,Center,11/05/86,11-Jun,230,15450051,France
Frank Ntilikina,73,11,Knicks,Guard,7/28/98,04-Jun,190,4855800,France
Sekou Doumbouya,73,45,Pistons,Forward,12/23/00,08-Jun,209,3285120,France
Vincent Poirier,73,77,Celtics,Center,10/17/93,01-Jul,235,2505793,France
Nicolo Melli,73,20,Pelicans,Forward,1/26/91,09-Jun,236,4102564,Italy
Josh Okogie,73,20,Timberwolves,Guard,9/01/98,04-Jun,213,2530680,Nigeria
Furkan Korkmaz,73,30,76ers,Forward,6/27/97,07-Jun,185,1620564,Turkey
OG Anunoby,73,3,Raptors,"Forward,Guard",7/17/97,07-Jun,232,2281800,United Kingdom
Aaron Holiday,73,3,Pacers,Guard,9/30/96,01-Jun,185,2239200,United States
Tyus Jones,73,21,Grizzlies,Guard,5/10/96,01-Jun,185,10116000,United States
Ishmael Smith,73,14,Wizards,Guard,7/05/88,01-Jun,175,6000000,United States
Mike Muscala,73,33,Thunder,"Forward,Center",7/01/91,10-Jun,230,2028594,United States
Brad Wanamaker,73,9,Celtics,Guard,7/25/89,03-Jun,210,1445697,United States
Bruce Brown,73,6,Pistons,Guard,8/15/96,04-Jun,190,1416852,United States
Royce O'Neale,73,23,Jazz,Forward,6/05/93,04-Jun,226,1618520,United States
DeAndre Bembry,73,95,Hawks,Forward,7/04/94,05-Jun,207,2603981,United States
Sterling Brown,73,23,Bucks,Guard,2/10/95,05-Jun,230,1618520,United States
Alex Caruso,73,4,Lakers,Guard,2/28/94,05-Jun,186,2750000,United States
Allen Crabbe,73,0,,"Guard,Forward",4/09/92,05-Jun,197,17818456,United States
David Nwaba,73,0,Rockets,Guard,1/14/93,05-Jun,210,2581965,United States
Garrett Temple,73,17,Nets,"Guard,Forward",5/08/86,05-Jun,195,4767000,United States
Lonnie Walker,73,1,Spurs,Guard,12/14/98,05-Jun,204,2764200,United States
Tyler Herro,73,14,Heat,Guard,1/20/00,05-Jun,195,3640200,United States
Nassir Little,73,9,Trail Blazers,Forward,2/11/00,05-Jun,220,2105520,United States
Dwayne Bacon,73,7,Hornets,Guard,8/30/95,06-Jun,220,1618520,United States
Troy Brown,73,6,Wizards,"Forward,Guard",7/28/99,06-Jun,215,3219480,United States
Alec Burks,73,0,76ers,Guard,7/20/91,06-Jun,195,2320044,United States
James Ennis,73,0,Magic,Forward,7/01/90,06-Jun,201,1882867,United States
Danuel House,73,4,Rockets,Forward,6/07/93,06-Jun,220,3540000,United States
Stanley Johnson,73,5,Raptors,Forward,5/29/96,06-Jun,242,3623000,United States
CJ Miles,73,0,,"Guard,Forward",3/18/87,06-Jun,232,8730158,United States
Semi Ojeleye,73,37,Celtics,Forward,12/05/94,06-Jun,235,1618520,United States
Jonathon Simmons,73,0,,"Guard,Forward",9/14/89,06-Jun,195,1000000,United States
Tony Snell,73,17,Pistons,Forward,11/10/91,06-Jun,198,11392857,United States
Evan Turner,73,1,Timberwolves,"Guard,Forward",10/27/88,06-Jun,205,18606556,United States
Dorian Finney-Smith,73,10,Mavericks,Forward,5/04/93,07-Jun,213,4000000,United States
Shaquille Harrison,73,3,Bulls,Guard,10/06/93,07-Jun,190,1620564,United States
Omari Spellman,73,0,Timberwolves,Forward,7/21/97,08-Jun,245,1897800,United States
Tyson Chandler,73,19,Rockets,Center,10/02/82,01-Jul,235,2564753,United States
Ryan Broekhoff,72,0,76ers,Forward,8/23/90,06-Jun,215,2833704,Australia
Thon Maker,72,7,Pistons,"Forward,Center",2/25/97,01-Jul,216,3569643,Australia
